TEMPO;LOAD;FIO2;FEO2;FECO2;FETO2;FETCO2;VE;TI;TE;HR;VO2
777.0;250;20.8;14.5060018467221;6.09110495537088;13.24;7.16;73.4944161620645;1.394;1.312;143;3682.17542916524
780.0;250;20.79;14.5796392540508;6.05319474166922;13.31;7.12;75.0178123954676;1.353;1.316;144;3703.93889918103
782.0;300;20.78;14.7012195121951;5.96951219512195;13.42;7.05;77.7588861449489;1.268;1.314;145;3750.81930204498
784.0;300;20.78;14.8295625942685;5.88536953242836;13.54;6.99;80.2356044212797;1.2;1.329;146;3782.51726042182
786.0;300;20.79;14.9208764455265;5.81862446743761;13.63;6.95;81.7645172851334;1.148;1.312;147;3795.31584583885
788.0;300;20.81;15.0122925629994;5.76213890596189;13.7;6.92;83.3397268677217;1.094;1.296;147;3814.08891094549
791.0;300;20.83;15.106844224218;5.68906782285537;13.78;6.87;85.6747558809333;1.035;1.272;148;3865.71993860676
793.0;300;20.84;15.1610904584882;5.65365551425031;13.83;6.84;86.6244850510529;1.016;1.265;149;3874.81829095224
796.0;300;20.85;15.1892890120037;5.63558017851647;13.84;6.83;86.693936414362;1.012;1.282;150;3865.88088060695
798.0;300;20.84;15.1881067961165;5.63410194174757;13.81;6.83;86.0353205458613;1.02;1.325;151;3832.0542546101
801.0;300;20.83;15.1723104584957;5.63979622415343;13.77;6.84;85.1093728043221;1.033;1.367;152;3797.40924067667
803.0;300;20.82;15.1670115282294;5.64587644102867;13.75;6.85;84.5562351408777;1.046;1.403;153;3768.79020200355
806.0;300;20.83;15.1569375183338;5.65268407157524;13.73;6.87;84.0732138083855;1.057;1.425;154;3761.77354093336
809.0;300;20.83;15.0777354062775;5.720152537401;13.65;6.92;81.5116080751612;1.137;1.423;154;3700.11403011237
811.0;300;20.83;14.9731983323407;5.79809410363311;13.57;6.98;79.4848934506836;1.202;1.384;155;3675.36613392874
813.0;300;20.84;14.8683015440509;5.86739327883742;13.5;7.02;77.9118715187192;1.262;1.333;155;3681.32911655827
816.0;300;20.83;14.8340055848588;5.87961526528079;13.5;7.02;78.1015017110623;1.24;1.286;155;3706.96469247186
818.0;300;20.82;14.813880126183;5.88958990536278;13.5;7.01;78.1160178266808;1.224;1.26;155;3715.84330090521
820.0;300;20.8;14.8785166240409;5.83120204603581;13.56;6.96;80.449289418187;1.137;1.243;154;3770.66118495239
823.0;300;20.78;14.9633641287034;5.76298184135075;13.61;6.92;82.6775535239946;1.06;1.264;153;3800.23286158736
826.0;300;20.78;15.0078939059046;5.73097568676981;13.61;6.93;83.5228582653555;1.014;1.307;152;3809.62792459518
828.0;300;20.78;14.9519379844961;5.77984496124031;13.52;7;81.7758144796465;1.054;1.36;152;3768.59368522802
831.0;300;20.77;14.8616600790514;5.84372149589541;13.41;7.07;80.7234750477198;1.096;1.398;152;3775.65728283476
833.0;300;20.77;14.7921029015854;5.88991923422076;13.32;7.13;80.6899697261605;1.114;1.422;152;3823.68202447363
836.0;300;20.77;14.7267355982275;5.94091580502216;13.26;7.18;80.7170403941304;1.141;1.426;152;3870.34703785342
838.0;300;20.77;14.6987951807229;5.9623861298854;13.25;7.2;81.815572732617;1.14;1.406;152;3942.94575533586
840.0;300;20.76;14.692489651094;5.96984033116499;13.27;7.2;82.8399393534005;1.128;1.371;152;3989.40457059412
843.0;300;20.76;14.6987951807229;5.97590361445783;13.29;7.22;82.8462701429778;1.105;1.348;152;3979.96363748875
846.0;300;20.76;14.6583282489323;6.01891397193411;13.24;7.27;81.5654557701361;1.107;1.353;152;3942.58649427169
848.0;300;20.77;14.5944291398837;6.06366697275788;13.17;7.31;80.6036661104621;1.113;1.368;153;3949.32815558705
851.0;300;20.77;14.5603576751118;6.09538002980626;13.1;7.35;80.5350196925031;1.142;1.408;153;3970.24847868491
